"id","title","director","release_year","runtime","rating","metascore","gross(M)"
1,"Witness for the Prosecution","Billy Wilder","1957",116,8.4,76,8.18
2,"The Shawshank Redemption","Frank Darabont","1994",142,9.3,82,28.34
3,"The Great Dictator","Charles Chaplin","1940",125,8.4,0,0.29
4,"High and Low","Akira Kurosawa","1963",143,8.4,90,0.0
5,"The Godfather","Francis Ford Coppola","1972",175,9.2,100,134.97
6,"Kaithi","Lokesh Kanagaraj","2019",145,8.4,0,0.0
7,"The Dark Knight","Christopher Nolan","2008",152,9.0,84,534.86
8,"Schindler's List","Steven Spielberg","1993",195,9.0,95,96.9
9,"12 Angry Men","Sidney Lumet","1957",96,9.0,97,4.36
10,"The Lord of the Rings: The Return of the King","Peter Jackson","2003",201,9.0,94,377.85
11,"The Godfather Part II","Francis Ford Coppola","1974",202,9.0,90,57.3
12,"Spider-Man: Across the Spider-Verse","Joaquim Dos Santos","2023",140,8.9,86,0.0
13,"Sardar Udham","Shoojit Sircar","2021",164,8.4,0,0.0
14,"Pulp Fiction","Quentin Tarantino","1994",154,8.9,95,107.93
15,"Inception","Christopher Nolan","2010",148,8.8,74,292.58
16,"Asuran","Vetrimaaran","2019",141,8.4,0,0.0
17,"The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","2001",178,8.8,92,315.54
18,"Drishyam 2","Jeethu Joseph","2021",152,8.4,0,0.0
19,"Fight Club","David Fincher","1999",139,8.8,67,37.03
20,"Forrest Gump","Robert Zemeckis","1994",142,8.8,82,330.25
21,"Top Gun: Maverick","Joseph Kosinski","2022",130,8.3,78,718.73
22,"Heat","Michael Mann","1995",170,8.3,76,67.44
23,"Inglourious Basterds","Quentin Tarantino","2009",153,8.3,69,120.54
24,"Full Metal Jacket","Stanley Kubrick","1987",116,8.3,78,46.36
25,"Scarface","Brian De Palma","1983",170,8.3,65,45.6
26,"American Beauty","Sam Mendes","1999",122,8.3,84,130.1
27,"The Good, the Bad and the Ugly","Sergio Leone","1966",178,8.8,90,6.1
28,"The Lord of the Rings: The Two Towers","Peter Jackson","2002",179,8.8,87,342.55
29,"Jai Bhim","T.J. Gnanavel","2021",164,8.8,0,0.0
30,"777 Charlie","Kiranraj K","2022",164,8.8,0,0.0
31,"Interstellar","Christopher Nolan","2014",169,8.7,74,188.02
32,"Goodfellas","Martin Scorsese","1990",145,8.7,92,46.84
33,"Requiem for a Dream","Darren Aronofsky","2000",102,8.3,71,3.64
34,"The Matrix","Lana Wachowski","1999",136,8.7,73,171.48
35,"Good Will Hunting","Gus Van Sant","1997",126,8.3,70,138.43
36,"Eternal Sunshine of the Spotless Mind","Michel Gondry","2004",108,8.3,89,34.4
37,"A Clockwork Orange","Stanley Kubrick","1971",136,8.3,77,6.21
38,"One Flew Over the Cuckoo's Nest","Milos Forman","1975",133,8.7,84,112.0
39,"Star Wars: Episode V - The Empire Strikes Back","Irvin Kershner","1980",124,8.7,82,290.48
40,"Rocketry: The Nambi Effect","Madhavan","2022",157,8.7,0,0.0
41,"Vertigo","Alfred Hitchcock","1958",128,8.3,100,3.2
42,"Soorarai Pottru","Sudha Kongara","2020",153,8.7,0,0.0
43,"Braveheart","Mel Gibson","1995",178,8.3,68,75.6
44,"The Green Mile","Frank Darabont","1999",189,8.6,61,136.8
45,"2001: A Space Odyssey","Stanley Kubrick","1968",149,8.3,84,56.95
46,"Terminator 2: Judgment Day","James Cameron","1991",137,8.6,75,204.84
47,"Reservoir Dogs","Quentin Tarantino","1992",99,8.3,81,2.83
48,"Se7en","David Fincher","1995",127,8.6,65,100.13
49,"Once Upon a Time in America","Sergio Leone","1984",229,8.3,75,5.32
50,"The Hunt","Thomas Vinterberg","2012",115,8.3,77,0.69
51,"Saving Private Ryan","Steven Spielberg","1998",169,8.6,91,216.54
52,"Toy Story","John Lasseter","1995",81,8.3,96,191.8
53,"The Silence of the Lambs","Jonathan Demme","1991",118,8.6,86,130.74
54,"Star Wars: Episode IV - A New Hope","George Lucas","1977",121,8.6,90,322.74
55,"Spirited Away","Hayao Miyazaki","2001",125,8.6,96,10.06
56,"City of God","Fernando Meirelles","2002",130,8.6,79,7.56
57,"Life Is Beautiful","Roberto Benigni","1997",116,8.6,59,57.6
58,"Seven Samurai","Akira Kurosawa","1954",207,8.6,98,0.27
59,"Hamilton","Thomas Kail","2020",160,8.3,89,0.0
60,"Up","Pete Docter","2009",96,8.3,88,293.0
61,"It's a Wonderful Life","Frank Capra","1946",130,8.6,89,0.0
62,"Harakiri","Masaki Kobayashi","1962",133,8.6,85,0.0
63,"Star Wars: Episode VI - Return of the Jedi","Richard Marquand","1983",131,8.3,58,309.13
64,"Sita Ramam","Hanu Raghavapudi","2022",163,8.6,0,0.0
65,"Back to the Future","Robert Zemeckis","1985",116,8.5,87,210.61
66,"The Departed","Martin Scorsese","2006",151,8.5,85,132.38
67,"Gladiator","Ridley Scott","2000",155,8.5,67,187.71
68,"Alien","Ridley Scott","1979",117,8.5,89,78.9
69,"Amélie","Jean-Pierre Jeunet","2001",122,8.3,69,33.23
70,"Incendies","Denis Villeneuve","2010",131,8.3,80,6.86
71,"Lawrence of Arabia","David Lean","1962",218,8.3,100,44.82
72,"Toy Story 3","Lee Unkrich","2010",103,8.3,92,415.0
73,"Princess Mononoke","Hayao Miyazaki","1997",134,8.3,76,2.38
74,"Parasite","Bong Joon Ho","2019",132,8.5,96,53.37
75,"North by Northwest","Alfred Hitchcock","1959",136,8.3,98,13.28
76,"The Prestige","Christopher Nolan","2006",130,8.5,66,53.09
77,"To Kill a Mockingbird","Robert Mulligan","1962",129,8.3,88,0.0
78,"Whiplash","Damien Chazelle","2014",106,8.5,89,13.09
79,"Léon: The Professional","Luc Besson","1994",110,8.5,64,19.5
80,"The Lion King","Roger Allers","1994",88,8.5,88,422.78
81,"The Usual Suspects","Bryan Singer","1995",106,8.5,77,23.34
82,"Citizen Kane","Orson Welles","1941",119,8.3,100,1.59
83,"Casablanca","Michael Curtiz","1942",102,8.5,100,1.02
84,"Singin' in the Rain","Stanley Donen","1952",103,8.3,99,8.82
85,"Metropolis","Fritz Lang","1927",153,8.3,98,1.24
86,"American History X","Tony Kaye","1998",119,8.5,62,6.72
87,"The Sting","George Roy Hill","1973",129,8.3,83,159.6
88,"A Separation","Asghar Farhadi","2011",123,8.3,95,7.1
89,"M","Fritz Lang","1931",99,8.3,0,0.03
90,"Psycho","Alfred Hitchcock","1960",109,8.5,97,32.0
91,"The Apartment","Billy Wilder","1960",125,8.3,94,18.6
